"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Domain","Domain Category","PLUMS, BEARING - APPLICATIONS, MEASURED IN LB  -  <b>VALUE</b>","PLUMS, BEARING - APPLICATIONS, MEASURED IN LB  -  <b>CV (%)</b>","PLUMS, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG  -  <b>VALUE</b>","PLUMS, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG  -  <b>CV (%)</b>","PLUMS, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG  -  <b>VALUE</b>","PLUMS, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG  -  <b>CV (%)</b>","PLUMS, BEARING - APPLICATIONS, MEASURED IN NUMBER, AVG  -  <b>VALUE</b>","PLUMS, BEARING - APPLICATIONS, MEASURED IN NUMBER, AVG  -  <b>CV (%)</b>","PLUMS, BEARING - TREATED, MEASURED IN PCT OF AREA BEARING, AVG  -  <b>VALUE</b>","PLUMS, BEARING - TREATED, MEASURED IN PCT OF AREA BEARING, AVG  -  <b>CV (%)</b>"
"SURVEY","2017","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","PLUMS","CHEMICAL, OTHER","CHEMICAL, OTHER: (Z-8-DODECANOL = 128908)"," (Z)","","0.001","","0.002","","1.4","","20",""
"SURVEY","2017","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","PLUMS","CHEMICAL, OTHER","CHEMICAL, OTHER: (Z-8-DODECEN ACETATE = 128906)","500","","0.103","","0.141","","1.4","","20",""
"SURVEY","2015","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PLUMS","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (AZOXYSTROBIN = 128810)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2015","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PLUMS","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (BACILLUS SUBTILIS = 6479)"," (NA)",""," (NA)",""," (NA)",""," (D)",""," (D)",""
"SURVEY","2015","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PLUMS","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (BASIC COPPER SULFATE = 8101)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2015","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PLUMS","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (BOSCALID = 128008)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2015","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PLUMS","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (CHLOROTHALONIL = 81901)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2015","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PLUMS","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (COPPER CHLORIDE HYD. = 23501)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2015","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PLUMS","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (COPPER HYDROXIDE = 23401)","2,300","","1.994","","2.718","","1.4","","5",""
"SURVEY","2015","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PLUMS","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (COPPER OXIDE = 25601)","15,800","","17.412","","29.08","","1.7","","3",""
"SURVEY","2015","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PLUMS","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (CYPRODINIL = 288202)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2015","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PLUMS","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (FENBUCONAZOLE = 129011)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2015","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PLUMS","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (IPRODIONE = 109801)","800","","0.686","","0.81","","1.2","","6",""
"SURVEY","2015","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PLUMS","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (METCONAZOLE = 125619)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2015","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PLUMS","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (MYCLOBUTANIL = 128857)","100","","0.112","","0.112","","1","","4",""
"SURVEY","2015","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PLUMS","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (PENTHIOPYRAD = 90112)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2015","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PLUMS","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (PROPICONAZOLE = 122101)","700","","0.112","","0.158","","1.4","","24",""
"SURVEY","2015","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PLUMS","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (PYRACLOSTROBIN = 99100)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2015","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PLUMS","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (PYRIMETHANIL = 288201)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2015","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PLUMS","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (QUINOLINE = 55459)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2015","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PLUMS","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (SULFUR = 77501)","36,200","","6.86","","8.745","","1.3","","23",""
"SURVEY","2015","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PLUMS","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (TOTAL)","59,400","","","","","","","","51",""
"SURVEY","2015","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PLUMS","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (TRIFLOXYSTROBIN = 129112)","100","","0.111","","0.118","","1.1","","3",""
"SURVEY","2015","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PLUMS","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (ZIRAM = 34805)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2015","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PLUMS","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (2,4-D, DIMETH. SALT = 30019)","2,800","","1.265","","1.519","","1.2","","10",""
"SURVEY","2015","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PLUMS","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (FLUMIOXAZIN = 129034)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2015","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PLUMS","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (GLUFOSINATE-AMMONIUM = 128850)","900","","0.754","","1.471","","2","","3",""
"SURVEY","2015","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PLUMS","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (GLYPHOSATE ISO. SALT = 103601)","8,400","","1.068","","1.583","","1.5","","30",""
"SURVEY","2015","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PLUMS","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (GLYPHOSATE POT. SALT = 103613)","4,700","","1.531","","2.347","","1.5","","11",""
"SURVEY","2015","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PLUMS","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (ORYZALIN = 104201)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2015","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PLUMS","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (OXYFLUORFEN = 111601)","1,300","","0.394","","0.453","","1.1","","16",""
"SURVEY","2015","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PLUMS","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PARAQUAT = 61601)","1,600","","0.5","","0.51","","1","","17",""
"SURVEY","2015","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PLUMS","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PENDIMETHALIN = 108501)","9,200","","2.16","","2.312","","1.1","","22",""
"SURVEY","2015","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PLUMS","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PYRAFLUFEN-ETHYL = 30090)"," (Z)","","0.004","","0.004","","1.1","","5",""
"SURVEY","2015","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PLUMS","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (RIMSULFURON = 129009)","200","","0.037","","0.039","","1.1","","23",""
"SURVEY","2015","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PLUMS","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (TOTAL)","29,900","","","","","","","","47",""
"SURVEY","2015","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PLUMS","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (ABAMECTIN = 122804)"," (Z)","","0.021","","0.023","","1.1","","11",""
"SURVEY","2015","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PLUMS","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (ACETAMIPRID = 99050)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2015","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PLUMS","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (ALUMINUM PHOSPHIDE = 66501)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2015","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PLUMS","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (BIFENAZATE = 586)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2015","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PLUMS","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (BT KURSTAKI ABTS-351 = 6522)"," (NA)",""," (NA)",""," (NA)",""," (D)",""," (D)",""
"SURVEY","2015","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PLUMS","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (BT KURSTAKI SA-11 = 6519)"," (NA)",""," (NA)",""," (NA)",""," (D)",""," (D)",""
"SURVEY","2015","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PLUMS","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (BUPROFEZIN = 275100)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2015","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PLUMS","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (CHLORANTRANILIPROLE = 90100)","200","","0.085","","0.105","","1.2","","10",""
"SURVEY","2015","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PLUMS","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (CHLORPYRIFOS = 59101)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2015","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PLUMS","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (CHROMOBAC SUBTSUGAE PRAA4-1 CELLS AND SPENT MEDIA = 16329)"," (NA)",""," (NA)",""," (NA)",""," (D)",""," (D)",""
"SURVEY","2015","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PLUMS","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (DIAZINON = 57801)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2015","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PLUMS","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (DIFLUBENZURON = 108201)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2015","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PLUMS","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (ESFENVALERATE = 109303)","400","","0.055","","0.063","","1.2","","38",""
"SURVEY","2015","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PLUMS","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (ETOXAZOLE = 107091)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2015","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PLUMS","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (FENPROPATHRIN = 127901)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2015","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PLUMS","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (FENPYROXIMATE = 129131)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2015","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PLUMS","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (FLUBENDIAMIDE = 27602)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2015","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PLUMS","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (HEXYTHIAZOX = 128849)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2015","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PLUMS","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (IMIDACLOPRID = 129099)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2015","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PLUMS","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (INDOXACARB = 67710)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2015","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PLUMS","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (LAMBDA-CYHALOTHRIN = 128897)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2015","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PLUMS","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (METHOXYFENOZIDE = 121027)","800","","0.229","","0.31","","1.4","","14",""
"SURVEY","2015","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PLUMS","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (MYROTHECIUM VERRUC. = 119204)"," (NA)",""," (NA)",""," (NA)",""," (D)",""," (D)",""
"SURVEY","2015","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PLUMS","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (NEEM OIL, CLAR. HYD. = 25007)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2015","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PLUMS","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (POTASSIUM SALTS = 79021)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2015","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PLUMS","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (PYRETHRINS = 69001)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2015","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PLUMS","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (PYRIPROXYFEN = 129032)","200","","0.09","","0.113","","1.3","","10",""
"SURVEY","2015","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PLUMS","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (SPINETORAM = 110008)"," (Z)","","0.044","","0.065","","1.5","","3",""
"SURVEY","2015","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PLUMS","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (SPINETORAM-L = 110009)"," (Z)","","0.044","","0.065","","1.5","","3",""
"SURVEY","2015","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PLUMS","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (SPINOSAD = 110003)","100","","0.13","","0.356","","2.7","","2",""
"SURVEY","2015","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PLUMS","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (SPIROTETRAMAT = 392201)","100","","0.125","","0.198","","1.6","","4",""
"SURVEY","2015","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PLUMS","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (TOTAL)","7,400","","","","","","","","70",""
"SURVEY","2015","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PLUMS","CHEMICAL, OTHER","CHEMICAL, OTHER: (BT KURSTAKI SA-12 = 6518)"," (NA)",""," (NA)",""," (NA)",""," (D)",""," (D)",""
"SURVEY","2015","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PLUMS","CHEMICAL, OTHER","CHEMICAL, OTHER: (CAPRIC ACID = 128955)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2015","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PLUMS","CHEMICAL, OTHER","CHEMICAL, OTHER: (CAPRYLIC ACID = 128919)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2015","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PLUMS","CHEMICAL, OTHER","CHEMICAL, OTHER: (CHLOROPICRIN = 81501)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2015","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PLUMS","CHEMICAL, OTHER","CHEMICAL, OTHER: (DODECADIEN-1-OL = 129028)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2015","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PLUMS","CHEMICAL, OTHER","CHEMICAL, OTHER: (DODECANOL = 1509)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2015","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PLUMS","CHEMICAL, OTHER","CHEMICAL, OTHER: (E-8-DODECENYL ACETAT = 128907)"," (Z)","","0.006","","0.008","","1.3","","32",""
"SURVEY","2015","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PLUMS","CHEMICAL, OTHER","CHEMICAL, OTHER: (INDAZIFLAM = 80818)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2015","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PLUMS","CHEMICAL, OTHER","CHEMICAL, OTHER: (MINERAL OIL = 63502)","346,200","","26.377","","31.541","","1.2","","62",""
"SURVEY","2015","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PLUMS","CHEMICAL, OTHER","CHEMICAL, OTHER: (REYNOUTRIA SACHALINE = 55809)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2015","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PLUMS","CHEMICAL, OTHER","CHEMICAL, OTHER: (SPIRODICLOFEN = 124871)","400","","0.279","","0.321","","1.1","","7",""
"SURVEY","2015","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PLUMS","CHEMICAL, OTHER","CHEMICAL, OTHER: (TETRADECANOL = 1510)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2015","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PLUMS","CHEMICAL, OTHER","CHEMICAL, OTHER: (TOTAL)","351,000","","","","","","","","66",""
"SURVEY","2015","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PLUMS","CHEMICAL, OTHER","CHEMICAL, OTHER: (Z-8-DODECANOL = 128908)"," (Z)","","0.001","","0.001","","1.3","","32",""
"SURVEY","2015","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","PLUMS","CHEMICAL, OTHER","CHEMICAL, OTHER: (Z-8-DODECEN ACETATE = 128906)","600","","0.089","","0.115","","1.3","","32",""
"SURVEY","2015","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","PLUMS","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (AZOXYSTROBIN = 128810)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2015","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","PLUMS","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (BACILLUS SUBTILIS = 6479)"," (NA)",""," (NA)",""," (NA)",""," (D)",""," (D)",""
"SURVEY","2015","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","PLUMS","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (BASIC COPPER SULFATE = 8101)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2015","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","PLUMS","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (BOSCALID = 128008)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2015","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","PLUMS","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (CHLOROTHALONIL = 81901)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2015","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","PLUMS","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (COPPER CHLORIDE HYD. = 23501)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2015","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","PLUMS","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (COPPER HYDROXIDE = 23401)","2,300","","1.994","","2.718","","1.4","","5",""
"SURVEY","2015","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","PLUMS","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (COPPER OXIDE = 25601)","15,800","","17.412","","29.08","","1.7","","3",""
"SURVEY","2015","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","PLUMS","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (CYPRODINIL = 288202)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2015","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","PLUMS","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (FENBUCONAZOLE = 129011)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2015","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","PLUMS","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (IPRODIONE = 109801)","800","","0.686","","0.81","","1.2","","6",""
"SURVEY","2015","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","PLUMS","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (METCONAZOLE = 125619)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2015","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","PLUMS","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (MYCLOBUTANIL = 128857)","100","","0.112","","0.112","","1","","4",""
"SURVEY","2015","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","PLUMS","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (PENTHIOPYRAD = 90112)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2015","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","PLUMS","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (PROPICONAZOLE = 122101)","700","","0.112","","0.158","","1.4","","24",""
"SURVEY","2015","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","PLUMS","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (PYRACLOSTROBIN = 99100)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2015","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","PLUMS","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (PYRIMETHANIL = 288201)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
